address,coordinates
"1192 Brown St, Lexington, NC 27292","{'latitude': 35.787605, 'longitude': -80.278786}"
"Albert Dr, Lexington, NC 27292","{'latitude': 35.763435, 'longitude': -80.26988}"
"Becks Church Rd, Lexington, NC 27292","{'latitude': 35.778732, 'longitude': -80.22067}"
"2108 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.7659, 'longitude': -80.22181}"
"Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.77806, 'longitude': -80.26283}"
"1901 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.773315, 'longitude': -80.26013}"
"114 Glendale Rd, Lexington, NC 27292","{'latitude': 35.773727, 'longitude': -80.256065}"
"254 Peace Haven Dr, Lexington, NC 27292","{'latitude': 35.784542, 'longitude': -80.27723}"
"1200 Fairview Dr, Lexington, NC 27292","{'latitude': 35.79464, 'longitude': -80.254456}"
"225 Garden Dr, Lexington, NC 27292","{'latitude': 35.795177, 'longitude': -80.27567}"
"1206 Fairview Dr, Lexington, NC 27292","{'latitude': 35.793736, 'longitude': -80.25461}"
"260 Burkhart Rd, Lexington, NC 27292","{'latitude': 35.771275, 'longitude': -80.220116}"
"451 Garden Dr, Lexington, NC 27292","{'latitude': 35.795013, 'longitude': -80.280106}"
"1657 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.7728, 'longitude': -80.22121}"
"709 Brown St, Lexington, NC 27292","{'latitude': 35.784122, 'longitude': -80.2712}"
"110 Acacia Cres, Lexington, NC 27292","{'latitude': 35.791397, 'longitude': -80.2376}"
"210 Arbor Dr, Lexington, NC 27292","{'latitude': 35.79399, 'longitude': -80.226265}"
"Taylors Park Rd, Lexington, NC 27292","{'latitude': 35.767178, 'longitude': -80.26716}"
"293 Fisher St, Lexington, NC 27292","{'latitude': 35.763268, 'longitude': -80.242744}"
"102 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79411, 'longitude': -80.25207}"
"435 Brown St, Lexington, NC 27292","{'latitude': 35.783314, 'longitude': -80.26631}"
"115 Fairfax Rd, Lexington, NC 27292","{'latitude': 35.77806, 'longitude': -80.25558}"
"E State Highway 47, Lexington, NC 27292","{'latitude': 35.761703, 'longitude': -80.25752}"
"229 State Highway 47, Lexington, NC 27292","{'latitude': 35.761806, 'longitude': -80.25776}"
"Cardinal Dr, Lexington, NC 27292","{'latitude': 35.792423, 'longitude': -80.23048}"
"706 Cardinal Dr #82, Lexington, NC 27292","{'latitude': 35.790825, 'longitude': -80.229095}"
"436 Frontier Dr, Lexington, NC 27292","{'latitude': 35.759132, 'longitude': -80.22709}"
"145 Spring St, Lexington, NC 27292","{'latitude': 35.7642, 'longitude': -80.265945}"
"110 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79346, 'longitude': -80.25134}"
"193 Gurney Kearns Rd, Lexington, NC 27292","{'latitude': 35.786266, 'longitude': -80.271355}"
"632 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.786903, 'longitude': -80.22267}"
"Tan Oak Dr, Lexington, NC 27292","{'latitude': 35.788708, 'longitude': -80.23965}"
"0 Tan Oak Dr, Lexington, NC 27292","{'latitude': 35.78981, 'longitude': -80.24176}"
"571 Shannon Dr, Lexington, NC 27292","{'latitude': 35.770687, 'longitude': -80.26988}"
"Shadybrook St, Lexington, NC 27292","{'latitude': 35.77075, 'longitude': -80.253914}"
"217 Glendale Rd, Lexington, NC 27292","{'latitude': 35.77219, 'longitude': -80.252365}"
"Rogers Rd, Lexington, NC 27292","{'latitude': 35.76531, 'longitude': -80.24842}"
"400 Rogers Rd, Lexington, NC 27292","{'latitude': 35.763832, 'longitude': -80.24719}"
"13 Grimes Cres, Lexington, NC 27292","{'latitude': 35.832832, 'longitude': -80.253716}"
"609 Westside Dr, Lexington, NC 27292","{'latitude': 35.824497, 'longitude': -80.26191}"
"2 Covey Ct, Lexington, NC 27292","{'latitude': 35.816265, 'longitude': -80.2764}"
"110 Wilfred Ave, Lexington, NC 27292","{'latitude': 35.811577, 'longitude': -80.268776}"
"4 Robbins Cres, Lexington, NC 27292","{'latitude': 35.815647, 'longitude': -80.26467}"
"705 W 5th Ave, Lexington, NC 27292","{'latitude': 35.823803, 'longitude': -80.267555}"
"306 Peacock Cir, Lexington, NC 27292","{'latitude': 35.812817, 'longitude': -80.27649}"
"500 Burgin Dr, Lexington, NC 27292","{'latitude': 35.824802, 'longitude': -80.263306}"
"310 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813187, 'longitude': -80.27649}"
"304 Peacock Cir, Lexington, NC 27292","{'latitude': 35.8126, 'longitude': -80.27624}"
"308 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813293, 'longitude': -80.27653}"
"206 Briarcliff Dr, Lexington, NC 27292","{'latitude': 35.805786, 'longitude': -80.24222}"
"314 Fairview Dr, Lexington, NC 27292","{'latitude': 35.812786, 'longitude': -80.251526}"
"422 Wall St, Lexington, NC 27292","{'latitude': 35.808887, 'longitude': -80.255356}"
"323 Pearson Dr, Lexington, NC 27292","{'latitude': 35.811874, 'longitude': -80.279274}"
"300 Duke Dr, Lexington, NC 27292","{'latitude': 35.803482, 'longitude': -80.24069}"
"1007 Thomason St, Lexington, NC 27292","{'latitude': 35.820675, 'longitude': -80.23659}"
"824 Hargrave St, Lexington, NC 27292","{'latitude': 35.81852, 'longitude': -80.26424}"
"304 Hillcrest Dr, Lexington, NC 27292","{'latitude': 35.830654, 'longitude': -80.253624}"
"123 Eastside Dr, Lexington, NC 27292","{'latitude': 35.808487, 'longitude': -80.24486}"
"14 Robbins Cres, Lexington, NC 27292","{'latitude': 35.816296, 'longitude': -80.26637}"
"336 Peacock Cir, Lexington, NC 27292","{'latitude': 35.813206, 'longitude': -80.27637}"
"307 School St, Lexington, NC 27292","{'latitude': 35.80825, 'longitude': -80.25291}"
"317 Washburn St, Lexington, NC 27292","{'latitude': 35.804935, 'longitude': -80.26708}"
"612 Quail Ln, Lexington, NC 27292","{'latitude': 35.816936, 'longitude': -80.27508}"
"708 Zane Perkins Dr, Lexington, NC 27292","{'latitude': 35.796295, 'longitude': -80.26763}"
"335 Wilfred Ave, Lexington, NC 27292","{'latitude': 35.813957, 'longitude': -80.27157}"
"178 Locust Dr, Lexington, NC 27292","{'latitude': 35.819824, 'longitude': -80.221596}"
"302 Westover Dr, Lexington, NC 27292","{'latitude': 35.832798, 'longitude': -80.2609}"
